Kürzel;BVNR;KNAME;DATUM;PROGDAT;DBS;BE vor Bew.;Nichtaufgriffsgrenze;0,0024;von BE vor Bewertung
AIC;8101;Aichach-Schrob;2016/12;31.12.2016;1.299.638;11.588;27811,2;;
KE;8710;Allgäu;2016/12;31.12.2016;4.363.736;30.180;72432;;
MÜ;8123;Altoett-Muehld;2016/12;31.12.2016;2.421.298;17.429;41829,4;;
AM;8301;Amberg-Sulzb.;2016/12;31.12.2016;1.983.866;14.726;35342,4;;
AN;8501;Ansbach;2016/12;31.12.2016;4.042.898;36.066;86558,9;;
AB;8602;Aschaffenburg;2016/12;31.12.2016;4.089.095;37.413;89791,2;;
A-K;8701;Augsburg,Kr;2016/12;31.12.2016;3.368.891;34.832;83596,8;;
A-S;8702;Augsburg,St;2016/12;31.12.2016;5.667.648;60.853;146046,5;;
KG;8603;Bad Kissingen;2016/12;31.12.2016;1.536.680;12.718;30523,2;;
NES;8604;Bad Neustadt;2016/12;31.12.2016;1.311.090;13.097;31432,8;;
TÖL;8137;Bad Tölz-Wolfr;2016/12;31.12.2016;2.239.405;19.056;45733,4;;
BA;8401;Bamberg;2016/12;31.12.2016;3.801.876;37.454;89889,6;;
BT;8403;Bayreuth;2016/12;31.12.2016;2.296.413;14.886;35726,4;;
BGL;8105;Berchtesg.Land;2016/12;31.12.2016;1.616.701;11.488;27571,2;;
CHA;8305;Cham;2016/12;31.12.2016;1.633.811;15.435;37044;;
CO;8405;Coburg-Licht.;2016/12;31.12.2016;2.512.953;17.612;42268,8;;
DAH;8109;Dachau;2016/12;31.12.2016;2.857.549;41.210;98904;;
DEG;8203;Deggendorf;2016/12;31.12.2016;2.010.856;19.466;46718,4;;
DKB;8501;Ansbach;2016/12;31.12.2016;4.042.898;36.066;86558,9;;
DLG;8703;Dillingen;2016/12;31.12.2016;1.228.353;8.765;21036;;
DON;8704;Donauwörth;2016/12;31.12.2016;1.096.611;8.339;20013,1;;
EI;8504;Eichstätt;2016/12;31.12.2016;1.092.718;12.126;29101,2;;
ED;8112;Erding-Dorfen;2016/12;31.12.2016;1.993.710;16.755;40212;;
ER;8506;Erlangen;2016/12;31.12.2016;4.643.637;40.415;96996;;
NEW;8311;Eschenbach;2016/12;31.12.2016;1.417.794;13.813;33151,2;;
FO;8407;Forchheim;2016/12;31.12.2016;1.773.579;13.552;32524,8;;
FS;8113;Freising;2016/12;31.12.2016;1.503.934;12.094;29025,6;;
FRG;8206;Freyung;2016/12;31.12.2016;753.963;6.839;16413,6;;
FFB;8114;Fürstenfeldbr.;2016/12;31.12.2016;3.590.432;16.429;39429,6;;
FÜ;8509;Fürth;2016/12;31.12.2016;3.469.330;31.186;74846,4;;
GAP;8115;Garmisch-Part.;2016/12;31.12.2016;1.197.972;6.321;15170,4;;
GZ;8510;Gunzenhausen;2016/12;31.12.2016;769.419;6.240;14975,5;;
GUN;8707;Günzburg-Krumb;2016/12;31.12.2016;1.871.352;13.570;32568;;
WUN;8410;Hochfranken;2016/12;31.12.2016;3.589.989;30.066;72158,4;;
ERH;8409;Höchstadt;2016/12;31.12.2016;841.852;7.253;17407,2;;
IN;8117;Ingolstadt;2016/12;31.12.2016;4.130.953;52.165;125196;;
KF;8709;Kaufbeuren;2016/12;31.12.2016;1.436.539;11.205;26892;;
KEH;8201;Kelheim;2016/12;31.12.2016;2.007.649;16.162;38788,8;;
KU;8412;Kulmbach-Kro.;2016/12;31.12.2016;2.419.931;22.985;55164,5;;
LL;8118;Landsberg;2016/12;31.12.2016;1.904.217;18.196;43670,4;;
LA;8210;Landshut;2016/12;31.12.2016;3.722.829;33.904;81369,6;;
WÜ;8624;Mainfr.Würzb.;2016/12;31.12.2016;7.770.634;54.750;131400;;
MM;8714;Memmingen;2016/12;31.12.2016;4.003.798;42.184;101241,6;;
MB;8132;Miesbach-T.;2016/12;31.12.2016;1.771.998;14.570;34968;;
MIL;8617;Miltenberg;2016/12;31.12.2016;1.875.097;13.768;33042,2;;
RH;8523;Mittelfr.-Süd;2016/12;31.12.2016;3.528.162;28.226;67742,4;;
MOO;8122;Moosburg;2016/12;31.12.2016;652.041;5.155;12372;;
M-K;8124;Mü-Sta-Ebe.KSK;2016/12;31.12.2016;10.965.136;95.488;229171,2;;
M-S;8125;München,St;2016/12;31.12.2016;16.938.120;125.462;301108,8;;
NU;8717;Neu-Ulm;2016/12;31.12.2016;1.884.905;16.157;38776,8;;
ND;8716;Neuburg-Rain;2016/12;31.12.2016;1.001.869;7.299;17517,6;;
NM;8309;Neumarkt  Opf.;2016/12;31.12.2016;2.252.943;22.377;53705,8;;
NEA;8516;Neustadt/Aisch;2016/12;31.12.2016;1.880.000;19.596;47031,1;;
SR;8221;Niederb.-Mitte;2016/12;31.12.2016;3.872.722;43.347;104032,8;;
NÖ;8718;Nördlingen;2016/12;31.12.2016;443.863;2.871;6891,4;;
N;8518;Nürnberg;2016/12;31.12.2016;11.077.420;95.319;228765,6;;
WEN;8324;Oberpfalz Nord;2016/12;31.12.2016;1.457.931;8.927;21424,8;;
HAS;8610;Ostunterfranke;2016/12;31.12.2016;1.189.734;9.386;22526,4;;
PA;8215;Passau;2016/12;31.12.2016;2.837.177;23.542;56500,8;;
PAF;8126;Pfaffenhofen;2016/12;31.12.2016;1.288.380;15.196;36470,9;;
REG;8218;Regen;2016/12;31.12.2016;1.378.067;14.543;34904,2;;
R;8316;Regensburg;2016/12;31.12.2016;4.272.716;29.226;70142,4;;
RO;8128;Rosenheim-Aibl;2016/12;31.12.2016;4.732.793;49.002;117604,8;;
ROT;8501;Ansbach;2016/12;31.12.2016;4.042.898;36.066;86558,9;;
PAN;8205;Rottal-Inn;2016/12;31.12.2016;1.944.958;19.324;46377,6;;
SOG;8129;Schongau;2016/12;31.12.2016;816.871;6.064;14553,8;;
SAD;8310;Schwandorf;2016/12;31.12.2016;2.025.294;14.000;33600;;
SW;8621;Schweinfurt;2016/12;31.12.2016;2.643.156;18.397;44152,8;;
TS;8133;Traunstein;2016/12;31.12.2016;2.184.816;16.889;40533,6;;
WS;8135;Wasserburg;2016/12;31.12.2016;1.031.317;10.622;25492,8;;
WM;8136;Weilheim;2016/12;31.12.2016;1.698.780;12.647;30352,8;;
