Änderungsmerkmal;Schlüssel;Kurzanzeige;Kurzbeschreibung;Beschreibung;Anmerkung;Buchungskategorie_BV
;101;101;Kasse;;;Aktiva
;102;102;Ford. an KI, lfd. Konten;;;Aktiva
;103;103;Ford. an KI, Tagesgeld, < 1 Monat;;;Aktiva
;104;104;Ford. an KI, 1 Monat bis <= 1 Jahr;;;Aktiva
;105;105;Ford. an KI, > 1 Jahr;;;Aktiva
;106;106;Ford. an KI, Wechselkredite;;;Aktiva
;107;107;Wertpapiere, festverzinslich;;;Aktiva
;108;108;Wertpapiere, sonstige verzinsliche;;;Aktiva
;109;109;Wertpapiere, Aktien, Inv.fonds, sonst.;;;Aktiva
;110;110;Handelsaktiva;Handelsaktiva;;Aktiva
;111;111;Erw. Schuldsch. u. Namensschuldverschr.;;;Aktiva
;112;112;Ford. an Kdn., Wechsel-/Akzeptkredite;;;Aktiva
;113;113;Ford. an Kdn., Kontokorrentkr. Privat;;;Aktiva
;114;114;Ford. an Kdn., Privat, Konsumentendarl.;;;Aktiva
;115;115;Ford. an Kdn., Privat, WoBau., <= 5 J.;;;Aktiva
;116;116;Ford. an Kdn., Privat, WoBau., > 5 J.;;;Aktiva
;117;117;Ford. an Kdn., Kontokorrentkr. Gesch.;;;Aktiva
;118;118;Ford. an Kdn., Gesch., WoBau., <= 5 J.;;;Aktiva
;119;119;Ford. an Kdn., Gesch., WoBau., > 5 J.;;;Aktiva
;120;120;Ford. an Kdn., Gesch., Sonst., <= 5 J.;;;Aktiva
;121;121;Ford. an Kdn., Gesch., Sonst., > 5 J.;;;Aktiva
;122;122;Ford. an Kdn., Kontokorrent. öff. Haush;;;Aktiva
;123;123;Ford. an Kdn., öff. Haush., Sonst. Kred;;;Aktiva
;124;124;Weiterleitungsdarlehen;;;Aktiva
;125;125;Ausgleichsforderungen;;;Aktiva
;126;126;Treuhandkredite;;;Aktiva
;127;127;Beteiligungen;;;Aktiva
;128;128;Sachanlagen;;;Aktiva
;130;130;Übrige Aktiva;;;Aktiva
;202;202;Zinsertr. aus Fo. KI: lfd. Guthaben;;;Zinsertrag
;203;203;Zinsertr. aus Fo. KI: Tagesg., un. 1 M.;;;Zinsertrag
;204;204;Zinsertr. aus Fo. KI: 1 M. bis zu 1 J.;;;Zinsertrag
;205;205;Zinsertr. aus Fo. KI: über 1 Jahr;;;Zinsertrag
;206;206;Zinsertr. aus Fo. KI: Wechselkredite;;;Zinsertrag
;207;207;Zinsertr. aus festverz. Wertpapieren;;;Zinsertrag
;208;208;Zinsertr. aus sonst.verz. Wertpapieren;;;Zinsertrag
;209;209;Zinsertr. Aktien, Inv.fonds, sonstige;;;Zinsertrag
;210;210;Zinserträge Handelsaktiva;Zinserträge Handelsaktiva;;Zinsertrag
;211;211;Zinsertr. aus Schuldsch., Namensschuld.;;;Zinsertrag
;212;212;Zinsertr. aus Wechselkrediten an Kunden;;;Zinsertrag
;213;213;Zinsertr. aus KK: Privatgiro;;;Zinsertrag
;214;214;Zinsertr. Konsumentenkr., Privat;;;Zinsertrag
;215;215;Zinsertr. Wobaukr. bis 5 J., Privat;;;Zinsertrag
;216;216;Zinsertr. Wobaukr. über 5 J., Privat;;;Zinsertrag
;217;217;Zinsertr. aus KK: Geschäftsgiro;;;Zinsertrag
;218;218;Zinsertr. Wobaukr. bis 5 J., Geschäft;;;Zinsertrag
;219;219;Zinsertr. Wobaukr. über 5 J., Geschäft;;;Zinsertrag
;220;220;Zinsertr. Sonst.Kr.bis 5 J., Geschäft;;;Zinsertrag
;221;221;ZInsertr. Sonst.Kr.über 5 J., Geschäft;;;Zinsertrag
;222;222;Zinsertr. aus KK: Öffentl.Haushalte;;;Zinsertrag
;223;223;Zinsertr. Sonst.Kr., Öffentl.Haushalte;;;Zinsertrag
;224;224;Zinsertr. aus Weiterleitungsdarlehen;;;Zinsertrag
;225;225;Zinsertr. aus Ausgleichsforderungen;;;Zinsertrag
;227;227;Erträge aus Beteiligungen;;;Zinsertrag
;230;230;Zinserträge der übrigen Aktiva;;;Zinsertrag
;331;331;SparE.normalverz., alle Kündigungsfr.;;;Passiva
;332;332;SparE.höherv. o.Zinsbefr., geldmktorien;;;Passiva
;333;333;SparE.höherv. o.Zinsbefr., kapitalmktor;;;Passiva
;334;334;SparE.höherv. m.Zinsbefr., Ein.anl.fest;;;Passiva
;335;335;SparE.höherv. m.Zinsbefr., sonst.Einmal;;;Passiva
;336;336;SparE.höherv. m.Zinsbefr., Ratensparver;;;Passiva
;337;337;SparE.höherv. m.Zinsbefr., sonst.m.Boni;;;Passiva
;338;338;Eigene Emissionen, Privat, <= 2 Jahre;;;Passiva
;339;339;Eig.Emiss., Privat, >2 J. bis <= 5 J.;;;Passiva
;340;340;Eigene Emissionen, Privat, > 5 Jahre;;;Passiva
;341;341;Eigene Emissionen, Geschäft;;;Passiva
;342;342;TerminE.v.Kdn., Privat, <= 3 Monate;;;Passiva
;343;343;TerminE.v.Kdn., Privat, > 3 Monate;;;Passiva
;344;344;TerminE.v.Kdn., Gesch., <= 5 Jahre;;;Passiva
;345;345;TerminE.v.Kdn., Gesch., > 5 Jahre;;;Passiva
;346;346;Sichteinl.v.Kdn., Privat, normalverz.;;;Passiva
;347;347;Sichteinl.v.Kdn., Privat, höherverz.;;;Passiva
;348;348;Sichteinl.v.Kdn., Gesch., normalverz.;;;Passiva
;349;349;Sichteinl.v.Kdn., Gesch., höherverz.;;;Passiva
;350;350;Verb. ggü. KI, lfd. Konten;;;Passiva
;351;351;Verb. ggü. KI, < 1 Monat;;;Passiva
;352;352;Verb. ggü. KI, 1 Monat bis <= 5 Jahre;;;Passiva
;353;353;Verb. ggü. KI, > 5 Jahre;;;Passiva
;354;354;Weiterleitungsmittel;;;Passiva
;355;355;Wertberichtigungen;;;Passiva
;356;356;Vorsorgereserven;;;Passiva
;357;357;Eigenkapital;;;Passiva
;358;358;Handelspassiva;Handelspassiva;;Passiva
;360;360;Übrige Passiva;;;Passiva
;431;431;Zinsaufw.Spar:normalv.,alle Künd.Frist.;;;Zinsaufwand
;432;432;Zinsaufw.Spar:höhv.ohn.ZiBefr.geldmor.;;;Zinsaufwand
;433;433;Zinsaufw.Spar:höhv.ohn.ZiBefr.kapitmor.;;;Zinsaufwand
;434;434;Zinsaufw. Einmalanlagen fest;;;Zinsaufwand
;435;435;Zinsaufw. Sonstige Einmalanlagen;;;Zinsaufwand
;436;436;Zinsaufw. Ratensparverträge;;;Zinsaufwand
