HK 2-stellig;HK 3-stellig;3mit *;Kontobezeichnung;HK;HK-4-Stellig;IDEA;Kontoneu;Prozess KI;Prozess EWB;WP;Sachanlagen;Personal;manuell;Hinweis
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – normalverzinslich;111100;1111;;x;;;;;;;
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – unbefristet höherverzinslich (geldmarktorientiert);111200;1112;;x;;;;;;;
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – unbefristet höherverzinslich (kapitalmarktorientiert);111300;1113;;x;;;;;;;
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – Einmalanlagen mit gleich bleibendem Zinssatz;111400;1114;;x;;;;;;;
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – Einmalanlagen mit steigendem Zinssatz;111500;1115;;x;;;;;;;
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – Ratensparverträge;111600;1116;;x;;;;;;;
11;111;*;Spareinlagen mit dreimonatiger Kündigungsfrist – mit vorübergehender Bonifizierung;111700;1117;;x;;;;;;;
11;111;*;bonifizierte Spareinlagen bis 3 Monate Kündigungsfrist;111710;1117;;x;;;;;;;
11;112;*;befristete bonifizierte Spareinlagen bis 3 Monate Kündigungsfrist;111720;1117;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – normalverzinslich;112100;1121;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – unbefristet höherverzinslich (geldmarktorientiert);112200;1122;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – unbefristet höherverzinslich (kapitalmarktorientiert);112300;1123;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – Einmalanlagen mit gleich bleibendem Zinssatz;112400;1124;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – Einmalanlagen mit steigendem Zinssatz;112500;1125;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – Ratensparverträge;112600;1126;;x;;;;;;;
11;112;*;Spareinlagen mit mehr als dreimonatiger Kündigungsfrist – mit vorübergehender Bonifizierung;112700;1127;;x;;;;;;;
11;112;*;bonifizierte Spareinlagen über 3 Monate Kündigungsfrist;112710;1127;;x;;;;;;;
11;113;*;befristete bonifizierte Spareinlagen über 3 Monate Kündigungsfrist;112720;1127;;x;;;;;;;
11;113;*;Prämienverbindlichkeiten aus Existenzgründungssparverträgen;113400;1134;;x;;;;;;;
11;114;*;"Prämienverbindlichkeiten - sonstige Sparverträge (FI-Ausweis ""Verbindlichkeiten ggü. Kdn. Unter 3 Monte)";113500;1135;;x;;;;;;;
12;121;*;Anlagen nach dem Altersvermögensgesetz;114000;1140;;x;;;;;;;
12;121;*;PS-Lose - Sparbeiträge;121000;1210;x;;;;;;;;manuell
12;121;*;PS-Bestandskonto;121100;1211;x;;;;;;;;manuell
12;123;*;PS-Auszahlungskonto;121200;1212;x;;;;;;;;manuell
14;141;*;Geschenkspargutschein-Sammelkonto usw.;123000;1230;x;;;;;;;;manuell
14;142;*;An Geschäftskunden verkaufte Sparkassenbriefe;141000;1410;;x;;;;;;;
14;142;*;An Privatkunden verkaufte Sparkassenbriefe – mit einer Laufzeit bis zu 2 Jahren;142100;1421;;x;;;;;;;
14;142;*;An Privatkunden verkaufte Sparkassenbriefe – mit einer Laufzeit von mehr als 2 bis zu 5 Jahren;142200;1422;;x;;;;;;;
15;151;*;An Privatkunden verkaufte Sparkassenbriefe – mit einer Laufzeit von mehr als 5 Jahren;142300;1423;;x;;;;;;;
15;152;*;An Geschäftskunden verkaufte Spk. Obligationen;151000;1510;;x;;;;;;;
15;152;*;An Privatkunden verkaufte Sparkassenobligationen – mit einer Laufzeit bis zu 2 Jahren;152100;1521;;x;;;;;;;
15;152;*;An Privatkunden verkaufte Sparkassenobligationen – mit einer Laufzeit von mehr als 2 bis zu 5 Jahren;152200;1522;;x;;;;;;;
16;162;*;An Privatkunden verkaufte Sparkassenobligationen – mit einer Laufzeit von mehr als 5 Jahren;152300;1523;;x;;;;;;;
16;163;*;S-Gewinnobligationen mit einer Laufzeit von mehr als 2 bis zu 5 Jahren;162000;1620;;x;;;;;;;
17;171;*;S-Gewinnobligationen mit einer Laufzeit von mehr als 5 Jahren;163000;1630;;x;;;;;;;
17;172;*;An Geschäftskunden verkaufte Inhaberschuldverschreibungen;171000;1710;;x;;;;;;;
17;172;*;An Privatkunden verkaufte Inhaberschuldverschreibungen – mit einer Laufzeit bis zu 2 Jahren;172100;1721;;x;;;;;;;
17;172;*;An Privatkunden verkaufte Inhaberschuldverschreibungen – mit einer Laufzeit von mehr als 2 bis zu 5 Jahren;172200;1722;;x;;;;;;;
17;179;*;An Privatkunden verkaufte Inhaberschuldverschreibungen – mit einer Laufzeit von mehr als 5 Jahren;172300;1723;;x;;;;;;;
18;181;*;An Privatkunden verkaufte Inhaberschuldverschreibungen Fällige, noch nicht ausgezahlte Zinsen auf Inhaberschuldverschreibungen;179000;1790;;x;;;;;;;
18;181;*;Begebene Hypothekenpfandbriefe – Inhaberbriefe – an Geschäftskunden verkauft;181100;1811;;x;;;;;;;
18;182;*;Begebene öffentliche Pfandbriefe – Inhaberbriefe – an Geschäftskunden verkauft;181400;1814;;x;;;;;;;
18;182;*;Begebene Hypothekenpfandbriefe – Inhaberpapiere – an Privatkunden verkauft – mit einer Laufzeit bis zu 2 Jahren;182100;1821;;x;;;;;;;
18;182;*;Begebene Hypothekenpfandbriefe – Inhaberpapiere – an Privatkunden verkauft – mit einer Laufzeit von mehr als 2 Jahren bis zu 5 Jahren;182200;1822;;x;;;;;;;
18;182;*;Begebene Hypothekenpfandbriefe – Inhaberpapiere – an Privatkunden verkauft – mit einer Laufzeit von mehr als 5 Jahren;182300;1823;;x;;;;;;;
18;182;*;Begebene öffentliche Pfandbriefe – Inhaberpapiere – an Privatkunden verkauft – mit einer Laufzeit bis zu 2 Jahren;182400;1824;;x;;;;;;;
18;182;*;Begebene öffentliche Pfandbriefe – Inhaberpapiere – an Privatkunden verkauft – mit einer Laufzeit von mehr als 2 Jahren bis zu 5 Jahren;182500;1825;;x;;;;;;;
18;182;*;Begebene öffentliche Pfandbriefe – Inhaberpapiere – an Privatkunden verkauft – mit einer Laufzeit von mehr als 5 Jahren;182600;1826;;x;;;;;;;
18;183;*;Fällige, noch nicht ausgezahlte Zinsen auf Inhaberpfandbriefe;182900;1829;;x;;;;;;;
18;183;*;Begebene Hypothekenpfandbriefe – Namenspapiere – an Geschäftskunden verkauft;183100;1831;;x;;;;;;;
18;184;*;Begebene öffentliche Pfandbriefe – Namenspapiere – an Geschäftskunden verkauft;183400;1834;;x;;;;;;;
18;184;*;Begebene Hypothekenpfandbriefe – Namenspapiere – an Privatkunden verkauft – mit einer Laufzeit bis zu 2 Jahren;184100;1841;;x;;;;;;;
18;184;*;Begebene Hypothekenpfandbriefe – Namenspapiere – an Privatkunden verkauft – mit einer Laufzeit von mehr als 2 Jahren bis zu 5 Jahren;184200;1842;;x;;;;;;;
18;184;*;Begebene Hypothekenpfandbriefe – Namenspapiere – an Privatkunden verkauft  – mit einer Laufzeit von mehr als 5 Jahren;184300;1843;;x;;;;;;;
18;184;*;Begebene öffentliche Pfandbriefe – Namenspapiere – an Privatkunden verkauft – mit einer Laufzeit bis zu 2 Jahren;184400;1844;;x;;;;;;;
18;184;*;Begebene öffentliche Pfandbriefe – Namenspapiere – an Privatkunden verkauft – mit einer Laufzeit von mehr als 2 Jahren bis zu 5 Jahren;184500;1845;;x;;;;;;;
21;211;*;Begebene öffentliche Pfandbriefe – Namenspapiere – an Privatkunden verkauft  – mit einer Laufzeit von mehr als 5 Jahren;184600;1846;;x;;;;;;;
21;211;*;Tagesgelder von Kunden – Geschäftskunden;211100;2111;;x;;;;;;;
21;211;*;Tagesgelder von Kunden – öffentliche Haushalte;211200;2112;;x;;;;;;;
21;212;*;Tagesgelder von Kunden – Privatkunden;211300;2113;;x;;;;;;;
21;212;*;Andere befristete Verbindlichkeiten gegenüber Geschäftskunden  – Termineinlagen mit einer Laufzeit oder Kündigungsfrist bis zu 5 Jahren;212100;2121;;x;;;;;;;
21;212;*;Andere befristete Verbindlichkeiten gegenüber Geschäftskunden – Termineinlagen mit einer Laufzeit oder Kündigungsfrist von mehr als 5 Jahren;212200;2122;;x;;;;;;;
21;212;*;Andere befristete Verbindlichkeiten gegenüber Geschäftskunden  –  aufgenommene Darlehen mit einer Laufzeit oder Kündigungsfrist bis zu 5 Jahren;212300;2123;;x;;;;;;;
21;213;*;Andere befristete Verbindlichkeiten gegenüber Geschäftskunden –  aufgenommene Darlehen mit einer Laufzeit oder Kündigungsfrist von mehr als 5 Jahren;212400;2124;;x;;;;;;;
21;213;*;Andere befristete Verbindlichkeiten gegenüber Privatkunden – Termineinlagen mit einer Laufzeit oder Kündigungsfrist bis zu 3 Monaten;213100;2131;;x;;;;;;;
21;213;*;Andere befristete Verbindlichkeiten gegenüber Privatkunden – Termineinlagen mit einer Laufzeit oder Kündigungsfrist von mehr als 3 Monaten;213200;2132;;x;;;;;;;
21;213;*;Andere befristete Verbindlichkeiten gegenüber Privatkunden –  aufgenommene Darlehen mit einer Laufzeit oder Kündigungsfrist bis zu 3 Monaten;213300;2133;;x;;;;;;;
