Bilanz / GuV;Position;Unterposition 1;Unterposition 2;Unterposition 3;OBR-Schlüssel;Bezeichnung
Aktiva;1;;;;EA01__;Barreserve
Aktiva;1;1a;;;EA01a_;Kassenbestand
Aktiva;1;1b;;;EA01b_;Guthaben bei der Deutschen Bundesbank
Aktiva;2;;;;EA02__;Schuldtitel öffentlicher Stellen und Wechsel, die zur Refinanzierung bei der Deutschen Bundesbank zugelassen sind
Aktiva;2;2a;;;EA02a_;Schatzwechsel und unverzinsliche Schatzanweisungen sowie ähnliche Schuldtitel öffentlicher Stellen
Aktiva;2;2b;;;EA02b_;Wechsel
Aktiva;3;;;;EA03__;Forderungen an Kreditinstitute
Aktiva;3;3a;;;EA03a_;täglich fällig
Aktiva;3;3b;;;EA03b_;andere Forderungen
Aktiva;4;;;;EA04__;Forderungen an Kunden
Aktiva;4;;;darunter;EA04__xxx;darunter durch Grundpfandrechte gesichert
Aktiva;4;;;darunter;EA04__xxx;darunter Kommunalkredite
Aktiva;5;;;;EA05__;Schuldverschreibungen und andere festverzinsliche Wertpapiere
Aktiva;5;5a;;;EA05a_;Geldmarktpapiere
Aktiva;5;5a;5aa;;EA05aa;von öffentlichen Emittenten
Aktiva;5;5a;5aa;darunter;EA05aaxxx;darunter beleihbar bei der Deutschen Bundesbank
Aktiva;5;5a;5ab;;EA05ab;von anderen Emittenten
Aktiva;5;5a;5ab;darunter;EA05abxxx;darunter beleihbar bei der Deutschen Bundesbank
Aktiva;5;5b;;;EA05b_;Anleihen und Schuldverschreibungen
Aktiva;5;5b;5ba;;EA05ba;von öffentlichen Emittenten
Aktiva;5;5b;5ba;darunter;EA05baxxx;darunter beleihbar bei der Deutschen Bundesbank
Aktiva;5;5b;5bb;;EA05bb;von anderen Emittenten
Aktiva;5;5b;5bb;darunter;EA05bbxxx;darunter beleihbar bei der Deutschen Bundesbank
Aktiva;5;5c;;;EA05c_;eigene Schuldverschreibungen
Aktiva;5;5c;;;EA05c_;Nennbetrag
