PN_NR;BEZEICHNUNG;MANUELLE_BUCHUNGEN;Aenderung_Release
0000;ohne PN;X;neu
0001;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0002;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0003;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0004;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0005;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0006;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0007;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0008;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0009;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0010;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0011;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0012;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0013;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0014;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0015;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0016;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0017;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0018;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0019;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0020;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0021;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0022;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0023;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0024;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0025;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0026;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0027;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0028;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0029;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0030;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0031;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0032;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0033;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0034;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0035;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0036;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0037;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0038;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0039;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0040;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0041;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0042;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0043;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0044;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0045;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0046;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
